review_priority,evidence_class,canonical_name,family,n_works,n_title_matches,n_context_matches,max_score,total_score,best_title,best_doi,best_openalex_id,best_match_evidence,followup_evidence_count,followup_direct_count,followup_natural_count,followup_artificial_count,natural_signal_count,artificial_signal_count,colour_change_signal_count,review_status,review_reason
P0,natural_polymorphism,Dactylorhiza sambucina,Orchidaceae,16,12,7,39,362,"Monitoring of Dactylorhiza sambucina (L.) Soó (Orchidaceae)—Variation in Flowering, Flower Colour Morph Frequencies, and Erratic Population Census Trends",10.3390/d15020179,https://openalex.org/W4318475531,"Central questions of reproductive research on Dactylorhiza sambucina (Orchidaceae) are, if and how pollinator-mediated negative frequency dependent selection might maintain its flower colour polymorphism. As this hypothesis was based on artificial populations, it needs to be verified und",0,0,0,0,4,0,0,unreviewed,known_positive_control
P0,natural_polymorphism,Silene littorea,Caryophyllaceae,7,5,6,39,158,"The effects of pollination, herbivory and autonomous selfing on the maintenance of flower colour variation in Silene littorea",10.1111/plb.13209,https://openalex.org/W3103775414,"Intraspecific flower colour variation has been generally proposed to evolve as a result of selection driven by biotic or abiotic agents. In a polymorphic population of Silene littorea with pink- and white-flowered plants, we studied pollinators, analysed flower colour perception and tested for differences in pollinator visitation. We also experimentally analysed pollinator limitation in fruit and see",0,0,0,0,1,0,0,unreviewed,known_positive_control
P0,natural_polymorphism,Linanthus parryae,Polemoniaceae,6,3,6,39,150,PERSPECTIVE: EVOLUTION OF FLOWER COLOR IN THE DESERT ANNUAL LINANTHUS PARRYAE: WRIGHT REVISITED,10.1111/j.0014-3820.2001.tb00650.x,https://openalex.org/W2126691403,"Linanthus parryae, a diminutive desert annual with white or blue flowers, has been the focus of a long-standing debate among evolutionary biologists. At issue is whether the flower color polymorphism in this species is the product of ran",0,0,0,0,1,0,0,unreviewed,known_positive_control
P0,natural_polymorphism,Gymnadenia rhellicani,Orchidaceae,5,1,4,29,105,Emergence of a floral colour polymorphism by pollinator-mediated overdominance: 3-dimensional data of Gymnadenia rhellicani flowers in DICOM format,,https://openalex.org/W3194954792,Emergence of a floral colour polymorphism by pollinator-mediated overdominance: 3-dimensional data of Gymnadenia rhellicani flowers in DICOM format,0,0,0,0,1,0,0,unreviewed,known_positive_control
P1,natural_polymorphism,Campanula americana,Campanulaceae,10,0,10,24,185,Geographic Variation in Floral Color and Reflectance Correlates With Temperature and Colonization History,10.3389/fpls.2020.00991,https://openalex.org/W3039231158,"Geographic Variation in Floral Color and Reflectance Correlates With Temperature and Colonization History. roductive structures. Additionally, flower color may evolve to attract the dominant or most efficient pollinator type in a given population. Here, we evaluate geographic variation in petal coloration across the range of Campanula americana in Eastern North America and test whether color covaries with abiotic factors, the pollination community, and genetic structure established through post-glacial expansion. Consistent with other studies, flowers from coo || The role of pollinator preference in the maintenance of pollen colour variation. BACKGROUND AND AIMS: Pollinators often drive the evolution of floral traits, but their capacity to influence the evolution of pollen colour remains unclear. Pollen colour in Campanula americana is variable and displays a longitudinal cline from prevalence of deep purple in western populations to white and light-purple pollen in eastern populations. While selection for thermal tolerance probably underlies darke || Geographic variation in pollen color is associated with temperature stress. of pollen pigmentation, though it varies among and within species and its biochemical properties affect pollen viability. We characterize the distribution of pollen color across 24 populations of the North American herb Campanula americana, and assess the degree to which this variation is genetically based. We identify abiotic factors that covary with pollen color and test whether germination of light and dark pollen is differentially affected by variable",7,3,3,0,4,0,0,unreviewed,aggregated_followup_direct_and_natural_support
P1,natural_polymorphism,Lysimachia monelli,Primulaceae,8,2,8,30,200,A multiscale approach to understanding the shared blue-orange flower color polymorphism in two Lysimachia species,10.1186/s12870-024-05481-y,https://openalex.org/W4403002573,"A multiscale approach to understanding the shared blue-orange flower color polymorphism in two Lysimachia species. phism, or introgression. Although shared neutral genomic variation across species is commonplace, few examples of shared functional traits exist. The blue-orange petal color polymorphisms in two closely related species, Lysimachia monelli and L. arvensis were investigated with UV-vis reflectance spectra, flavonoid biochemistry, and transcriptome comparisons followed by climate niche analysis. RESULTS: Similar color morphs between species have nearly iden || Can a flower color ancestral polymorphism transcend speciation?. al polymorphism, or introgression. Although shared neutral genomic variation is commonplace, very few examples of shared functional traits exist. The blue-orange petal color polymorphisms in two closely related species, Lysimachia monelli and L. arvensis were investigated with UV-vis reflectance spectra, flavonoid biochemistry, and transcriptome comparisons followed by climate niche analysis. The similarities in reflectance spectra, biochemistry, and tra || A multiscale approach to understanding the shared blue-orange flower color polymorphism in two Lysimachia species. phism, or introgression. Although shared neutral genomic variation across species is commonplace, few examples of shared functional traits exist. The blue-orange petal color polymorphisms in two closely related species, Lysimachia monelli and L. arvensis were investigated with UV-vis reflectance spectra, flavonoid biochemistry, and transcriptome comparisons followed by climate niche analysis. Results Similar color morphs between species have nearly ident",4,3,0,0,2,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Aquilegia oxysepala,Ranunculaceae,4,4,3,28,84,Identification and Expression Analysis of R2R3-MYB Transcription Factors Associated with Flower Color Variation in Aquilegia oxysepala,10.3390/agronomy16050581,https://openalex.org/W7134180857,"Identification and Expression Analysis of R2R3-MYB Transcription Factors Associated with Flower Color Variation in Aquilegia oxysepala. Aquilegia oxysepala is a characteristic wildflower of Northeast China, which has great application potential owing to its unique floral morphology and strong adaptability. The R2R3-MYB is one of the largest transcription factor families and has important roles in anthocyanin bio || Identification of the Chalcone Synthase Gene Family: Revealing the Molecular Basis for Floral Colour Variation in Wild Aquilegia oxysepala in Northeast China. Identification of the Chalcone Synthase Gene Family: Revealing the Molecular Basis for Floral Colour Variation in Wild Aquilegia oxysepala in Northeast China",2,2,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Chrysanthemum indicum,Asteraceae,3,3,2,28,58,Metabolome and transcriptome integration provide insights into petal color variation of Chrysanthemum indicum,10.21203/rs.3.rs-8060656/v1,https://openalex.org/W4416744233,"Metabolome and transcriptome integration provide insights into petal color variation of Chrysanthemum indicum. Metabolome and transcriptome integration provide insights into petal color variation of Chrysanthemum indicum || Metabolome and transcriptome integration provide insights into petal color variation of Chrysanthemum indicum. Anthocyanins and carotenoids are essential for plant color formation and play significant roles in various physiological processes. This study explores the underlying molecular mechanisms of petal color variation in two Chrysanthemum indicum. Targeted metabolomics quantified 57 carotenoids, revealing higher total carotenoid content in yellow petals than in white petals. The yellow-petaled C. indicum flowers exhibited higher levels of key carotenoids, including lutein dipalmitate, lutein distearat",2,2,0,0,0,0,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Buddleja delavayi,Scrophulariaceae,2,2,2,31,50,Comparison of floral properties and breeding system in dimorphic Buddleja delavayi (Scrophulariaceae),10.1111/jse.12123,https://openalex.org/W1507846092,"Comparison of floral properties and breeding system in dimorphic Buddleja delavayi (Scrophulariaceae). Abstract In this study, floral color, scent composition and emission rate, nectar property, pollinators, and breeding system of dimorphic Buddleja delavayi Gagnep. were investigated. Flower color of B. delavayi was determined using a standard color chart and spectrophotometer, and two distinct color polymorphisms were observed having purple or white flowers. Floral scents",1,1,0,1,1,2,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
P1,natural_polymorphism,Lonicera japonica,Caprifoliaceae,8,8,3,22,125,Analysis of Flower Color Variations at Different Developmental Stages in Two Honeysuckle (Lonicera Japonica Thunb.) Cultivars,10.21273/hortsci13819-18,https://openalex.org/W2947486927,"Analysis of Flower Color Variations at Different Developmental Stages in Two Honeysuckle (Lonicera Japonica Thunb.) Cultivars. Lonicera japonica Thunb., known as Japanese honeysuckle or golden-and-silver honeysuckle, belongs to the honeysuckle family and is native to eastern Asia, including China, Japan, and Korea. Microscopy, spectrophotometry, colorimetry, and the Royal Horticult",1,1,0,1,0,3,0,unreviewed,natural_polymorphism_with_direct_and_replicated_support
