species,blind_id,photo_id,review_order_within_species,crop_status,condition_review,condition_failure_reason,review_notes,final_condition_label,evaluation_row
Antirrhinum majus,0176537d5144f894,86399173,1,ok,,,,False,False
Antirrhinum majus,051f8cd3f0eb321b,66134856,2,ok,,,,False,False
Antirrhinum majus,0907a26238b42d2a,80883828,3,ok,,,,False,False
Antirrhinum majus,0ae6d76b89653158,85433402,4,ok,,,,False,False
Antirrhinum majus,112cac5e0f54fb55,85228870,5,ok,,,,False,False
Antirrhinum majus,183a8f76f6bc355c,41889010,6,ok,,,,False,False
Antirrhinum majus,18f8a25df00ce628,91659585,7,ok,,,,False,False
Antirrhinum majus,1c1f03b0dc5ca929,53377997,8,ok,,,,False,False
Antirrhinum majus,1fe540bf891a394e,91012202,9,ok,,,,False,False
Antirrhinum majus,218b45f5a63c6000,43504109,10,ok,,,,False,False
Antirrhinum majus,21d987b2b349f90e,40364242,11,ok,,,,False,False
Antirrhinum majus,25e411a2b4438b58,81382099,12,ok,,,,False,False
Antirrhinum majus,2cf314ed8dc624d5,41830571,13,ok,,,,False,False
Antirrhinum majus,2dda3ce900d9b04d,100821953,14,ok,,,,False,False
Antirrhinum majus,2efd07a219656400,63261801,15,ok,,,,False,False
Antirrhinum majus,32b8b00fdb27037a,79662493,16,ok,,,,False,False
Antirrhinum majus,3449f322572aa874,52441296,17,ok,,,,False,False
Antirrhinum majus,35c749525028ca8f,11119297,18,ok,,,,False,False
Antirrhinum majus,3e88bd835733db4c,51205138,19,ok,,,,False,False
Antirrhinum majus,40c6b9b972182cc4,51821475,20,ok,,,,False,False
Antirrhinum majus,4323f50ff49052f7,100499089,21,ok,,,,False,False
Antirrhinum majus,45a11d27a5cf7827,110425795,22,ok,,,,False,False
Antirrhinum majus,47638c6fd75220f1,42405783,23,ok,,,,False,False
Antirrhinum majus,495e15e233638c96,233086283,24,ok,,,,False,False
Antirrhinum majus,4a7c684dee1b8b28,54242976,25,ok,,,,False,False
Antirrhinum majus,4e24079bc3afeab8,43113980,26,ok,,,,False,False
Antirrhinum majus,519620f8e25d0744,1740080,27,ok,,,,False,False
Antirrhinum majus,51c7cc1cf0b5c735,40509424,28,ok,,,,False,False
Antirrhinum majus,52adc3edbb421ad7,84278915,29,ok,,,,False,False
Antirrhinum majus,5a3800e2b77a071a,71345222,30,ok,,,,False,False
Antirrhinum majus,5d2b3388c504dfb3,39546343,31,ok,,,,False,False
Antirrhinum majus,5e1e1d313984cceb,85066605,32,ok,,,,False,False
Antirrhinum majus,5fc167e7c9501a36,68704418,33,ok,,,,False,False
Antirrhinum majus,62a01c58fa3d6456,20485112,34,ok,,,,False,False
Antirrhinum majus,6573b02858aa3c7c,44618090,35,ok,,,,False,False
Antirrhinum majus,66e10eb96923225a,75219579,36,ok,,,,False,False
Antirrhinum majus,6706088d13b6c63e,73396182,37,ok,,,,False,False
Antirrhinum majus,6893c7ec6729c6bc,35013683,38,ok,,,,False,False
Antirrhinum majus,71c9e0b492fd470f,22688963,39,ok,,,,False,False
Antirrhinum majus,76b89fc94541befb,2499721,40,ok,,,,False,False
Antirrhinum majus,7c54e0b1b479e99b,31273031,41,ok,,,,False,False
Antirrhinum majus,89a2db6091f9cf44,108240366,42,ok,,,,False,False
Antirrhinum majus,8c3d61ec20a95087,49183837,43,ok,,,,False,False
Antirrhinum majus,8c5c7f5052b76f5f,76110819,44,ok,,,,False,False
Antirrhinum majus,915a7ec13eceb563,35258649,45,ok,,,,False,False
Antirrhinum majus,968de05f4cd0b0b8,20955005,46,ok,,,,False,False
Antirrhinum majus,9698a328f1cf8b95,36839691,47,ok,,,,False,False
Antirrhinum majus,99ca30011440840e,41461147,48,ok,,,,False,False
Antirrhinum majus,9a1146d3f9a79e25,26800900,49,ok,,,,False,False
Antirrhinum majus,9a6a523bf89ada87,42234761,50,ok,,,,False,False
Antirrhinum majus,a39f87d0e96cef67,6684098,51,ok,,,,False,False
Antirrhinum majus,a43dd745a10a9e56,53864411,52,ok,,,,False,False
Antirrhinum majus,a51e52ca4e3b1676,78735627,53,ok,,,,False,False
Antirrhinum majus,a785bc5a808860bc,77939430,54,ok,,,,False,False
Antirrhinum majus,a87e51c75fcd5380,111148777,55,ok,,,,False,False
Antirrhinum majus,b332ed16d1b6b021,10567038,56,ok,,,,False,False
Antirrhinum majus,b464d523f89fbd03,75161780,57,ok,,,,False,False
Antirrhinum majus,b92bc07d9b04d4ae,62302712,58,ok,,,,False,False
Antirrhinum majus,be3d73ec6a6dfca1,47458133,59,ok,,,,False,False
Antirrhinum majus,bf7a39828dd5d084,74369626,60,ok,,,,False,False
Antirrhinum majus,c1a08d2ab0eb0942,112973830,61,ok,,,,False,False
Antirrhinum majus,c4ec963853bfc67f,56925184,62,ok,,,,False,False
Antirrhinum majus,c767b9f02395c4fa,74079788,63,ok,,,,False,False
Antirrhinum majus,cc7aee5e67d58601,76407025,64,ok,,,,False,False
Antirrhinum majus,d2751cf5ad0b6c32,75430727,65,ok,,,,False,False
Antirrhinum majus,df8868e6f97ef508,68262583,66,ok,,,,False,False
Antirrhinum majus,e07a385a3c0ebb8a,104309941,67,ok,,,,False,False
Antirrhinum majus,e371dd47b146f0ae,54225868,68,ok,,,,False,False
Antirrhinum majus,e7557a4d9376d9c8,103469004,69,ok,,,,False,False
Antirrhinum majus,e7db30617370144c,18238597,70,ok,,,,False,False
Antirrhinum majus,e8f10071133120e3,53733732,71,ok,,,,False,False
Antirrhinum majus,e9aba1f0d0263983,83815799,72,ok,,,,False,False
Antirrhinum majus,edf080030ffdae6e,102144766,73,ok,,,,False,False
Antirrhinum majus,f14a2d456ce5187e,12141570,74,ok,,,,False,False
Antirrhinum majus,f4aeeb7ab4451e47,15843025,75,ok,,,,False,False
Antirrhinum majus,f92e77e94a2bfcd3,79912582,76,ok,,,,False,False
Antirrhinum majus,fa227f8100237405,86143050,77,ok,,,,False,False
Antirrhinum majus,fb5b3b1646e2b47c,49086472,78,ok,,,,False,False
Antirrhinum majus,fc2c7c15856b80ec,41057368,79,ok,,,,False,False
Antirrhinum majus,ff8e64542a95f93a,32557407,80,ok,,,,False,False
Dactylorhiza sambucina,023f910bff4aa8c6,78290955,1,ok,,,,False,False
Dactylorhiza sambucina,0aa24210e186d1c8,19133453,2,ok,,,,False,False
Dactylorhiza sambucina,1353445b8c07dbeb,17886386,3,ok,,,,False,False
Dactylorhiza sambucina,14175a73c6877f25,70486248,4,ok,,,,False,False
Dactylorhiza sambucina,1502767460850e5b,79922783,5,ok,,,,False,False
Dactylorhiza sambucina,17a3fba3ecb6f3bf,140278,6,ok,,,,False,False
Dactylorhiza sambucina,1cac9aaadbbd7353,79766241,7,ok,,,,False,False
Dactylorhiza sambucina,1d79ce03dddf58c9,118236581,8,ok,,,,False,False
Dactylorhiza sambucina,1daf931c924f8b60,41042548,9,ok,,,,False,False
Dactylorhiza sambucina,1db514213358ade6,15425643,10,ok,,,,False,False
Dactylorhiza sambucina,2133d276d25178bb,122737569,11,ok,,,,False,False
Dactylorhiza sambucina,2209bcac6281d23b,27728723,12,ok,,,,False,False
Dactylorhiza sambucina,293f19f069d898fa,125984155,13,ok,,,,False,False
Dactylorhiza sambucina,2abb0bf1a179c4ea,65779299,14,ok,,,,False,False
Dactylorhiza sambucina,2b5409adce0dcfa6,813138,15,ok,,,,False,False
Dactylorhiza sambucina,2e7b63cd621eb040,38661079,16,ok,,,,False,False
Dactylorhiza sambucina,2f91dcdd0fbd0e41,80802774,17,ok,,,,False,False
Dactylorhiza sambucina,322505326f3fef4d,73388770,18,ok,,,,False,False
Dactylorhiza sambucina,331fb6dd2a6e427d,71000344,19,ok,,,,False,False
Dactylorhiza sambucina,36af10fe2681a74f,46933474,20,ok,,,,False,False
Dactylorhiza sambucina,39eaf6933ba71a08,35672654,21,ok,,,,False,False
Dactylorhiza sambucina,3f565a3206a6a1cf,99661183,22,ok,,,,False,False
Dactylorhiza sambucina,3fd4485f80df9956,94649431,23,ok,,,,False,False
Dactylorhiza sambucina,41a8488d018097f8,127353064,24,ok,,,,False,False
Dactylorhiza sambucina,4a68e375296a4559,105488094,25,ok,,,,False,False
Dactylorhiza sambucina,4be25f06d492a1fa,70701430,26,ok,,,,False,False
Dactylorhiza sambucina,50aa165ce7b59dbe,124547391,27,ok,,,,False,False
Dactylorhiza sambucina,516dd95f43089bc3,80253936,28,ok,,,,False,False
Dactylorhiza sambucina,5c9dc6ced7b5b0e6,111136324,29,ok,,,,False,False
Dactylorhiza sambucina,5df464a06bf4e98c,71891688,30,ok,,,,False,False
Dactylorhiza sambucina,6a60343df571fa2a,107133898,31,ok,,,,False,False
Dactylorhiza sambucina,6afc7f81ccb467c1,79426959,32,ok,,,,False,False
Dactylorhiza sambucina,7316838f8ff3782b,18120634,33,ok,,,,False,False
Dactylorhiza sambucina,77eeaf2d055f02f2,122160254,34,ok,,,,False,False
Dactylorhiza sambucina,7867f7653ea0a1bd,69619311,35,ok,,,,False,False
Dactylorhiza sambucina,7ef46c5673519dd9,41326134,36,ok,,,,False,False
Dactylorhiza sambucina,7f4a628f543ac5a1,16241697,37,ok,,,,False,False
Dactylorhiza sambucina,80087cc9e54d6242,19063707,38,ok,,,,False,False
Dactylorhiza sambucina,886f8e8c64306c38,72918871,39,ok,,,,False,False
Dactylorhiza sambucina,8e340d229f7c147f,69164527,40,ok,,,,False,False
Dactylorhiza sambucina,909503eb103d192b,69101680,41,ok,,,,False,False
Dactylorhiza sambucina,91399ce9cd3e5954,17169090,42,ok,,,,False,False
Dactylorhiza sambucina,9307eab4db10360d,18774304,43,ok,,,,False,False
Dactylorhiza sambucina,9443af7214525c08,80075100,44,ok,,,,False,False
Dactylorhiza sambucina,98eb41f4e4f106e2,71797791,45,ok,,,,False,False
Dactylorhiza sambucina,995cd5458de4efa4,71266590,46,ok,,,,False,False
Dactylorhiza sambucina,99d1bf52bc71f5df,27652687,47,ok,,,,False,False
Dactylorhiza sambucina,9e8e00d45985b28b,77782050,48,ok,,,,False,False
Dactylorhiza sambucina,9e8edd4799737bea,68934710,49,ok,,,,False,False
Dactylorhiza sambucina,9ecbcfdd425a4f94,18543485,50,ok,,,,False,False
Dactylorhiza sambucina,a40f513a925f03aa,110761494,51,ok,,,,False,False
Dactylorhiza sambucina,a55276b51e8cdfa9,102077204,52,ok,,,,False,False
Dactylorhiza sambucina,a68fe0e0d8c43d16,127370346,53,ok,,,,False,False
Dactylorhiza sambucina,a7694b8864401b00,113927183,54,ok,,,,False,False
Dactylorhiza sambucina,adb763e1a27f12bd,110758122,55,ok,,,,False,False
Dactylorhiza sambucina,b0d661aeeb601d97,77166693,56,ok,,,,False,False
Dactylorhiza sambucina,b1e3b5f6875b1b04,7621789,57,ok,,,,False,False
Dactylorhiza sambucina,b5b63eee19a8d559,36671020,58,ok,,,,False,False
Dactylorhiza sambucina,b674a404254f9b0a,60541061,59,ok,,,,False,False
Dactylorhiza sambucina,b6c0fa3ddc1e3b53,91971470,60,ok,,,,False,False
Dactylorhiza sambucina,b6e65e18228e8755,3784089,61,ok,,,,False,False
Dactylorhiza sambucina,bdd9752ca2cc50ce,100384906,62,ok,,,,False,False
Dactylorhiza sambucina,cb338982b6e24a54,122706417,63,ok,,,,False,False
Dactylorhiza sambucina,cc1dd9dfb0f7098b,7898312,64,ok,,,,False,False
Dactylorhiza sambucina,d241299c914dc3f2,65982615,65,ok,,,,False,False
Dactylorhiza sambucina,d46f571d548a7d18,71814769,66,ok,,,,False,False
Dactylorhiza sambucina,d64104f5d9f6468d,840625,67,ok,,,,False,False
Dactylorhiza sambucina,d92c5fb47e09d93b,91953460,68,ok,,,,False,False
Dactylorhiza sambucina,de58c749ab78e467,72116552,69,ok,,,,False,False
Dactylorhiza sambucina,ed65051ea8072613,126618835,70,ok,,,,False,False
Dactylorhiza sambucina,efbe90b1e9a8d849,41670715,71,ok,,,,False,False
Dactylorhiza sambucina,f0f8f80a58ee5800,108632540,72,ok,,,,False,False
Dactylorhiza sambucina,f22c4cb99d738b22,73306623,73,ok,,,,False,False
Dactylorhiza sambucina,f5534f7a6153b29d,76318568,74,ok,,,,False,False
Dactylorhiza sambucina,f7102bc79a174afc,72478453,75,ok,,,,False,False
Dactylorhiza sambucina,f72015cf11f3e366,38507303,76,ok,,,,False,False
Dactylorhiza sambucina,f7b46d855d8c61df,109930018,77,ok,,,,False,False
Dactylorhiza sambucina,f822f2584af4ab75,127375696,78,ok,,,,False,False
Dactylorhiza sambucina,fc7eb44327b48a9f,127659289,79,ok,,,,False,False
Dactylorhiza sambucina,ff84c2d409938f5a,112801536,80,ok,,,,False,False
Gentiana lutea,00b0caa6aa902f40,96227423,1,ok,,,,False,False
Gentiana lutea,061dbdb3dac2e947,86417634,2,ok,,,,False,False
Gentiana lutea,061e289fb3e289bd,89278692,3,ok,,,,False,False
Gentiana lutea,06e77876abbe6909,42907609,4,ok,,,,False,False
Gentiana lutea,070eb2cea12bbe1a,59382693,5,ok,,,,False,False
Gentiana lutea,07af513e54c72a69,24539313,6,ok,,,,False,False
Gentiana lutea,08ae8e42f0f8ac7c,47162804,7,ok,,,,False,False
Gentiana lutea,08cc868ed94f24d9,45143086,8,ok,,,,False,False
Gentiana lutea,0b0cb4465f4de6e4,88330059,9,ok,,,,False,False
Gentiana lutea,0ffb573676e009d8,85829329,10,ok,,,,False,False
Gentiana lutea,17604a8de44906d5,65883325,11,ok,,,,False,False
