hypothesis_id,mechanism,primary_prediction,evidence_type_needed,current_test,current_status,current_result,priority,literature_anchor
H1_temporal_environmental_variation,Fluctuating selection through time maintains multiple morphs locally,C-only/C+S should have greater interannual or flowering-season environmental turnover than S-only,independent temporal environmental data at fixed occupied locations,Static BIO4 candidate only; real dynamic TerraClimate protocol frozen but not executed,candidate_pending_independent_test,BIO4 direction favours C but weakens after mean-temperature/latitude controls; no dynamic result claimed,1,"Sapir et al. 2021, doi:10.1016/j.tree.2021.01.011; Gentiana leucomelaena 10.1002/ece3.2899"
H11_pigment_pleiotropy_abiotic_stress,Anthocyanin-linked stress tolerance changes morph fitness independently of pollinators,Spatially structured stress should favour S; temporally variable stress may favour C,"soil chemistry, drought/UV/temperature stress, ideally morph-specific fitness",Static climate breadth/heterogeneity; same-literature abiotic examples,macroclimate_null_soil_pending,Macroclimatic breadth/heterogeneity null; Leptosiphon provides a strong soil/drought/UV association but comparative edaphic test is pending,2,Leptosiphon parviflorus 10.1002/ajb2.70018; Sapir et al. 2017 PMID 28430395
H2_spatial_local_adaptation,Spatially divergent selection sorts morphs among populations,S-only/C+S should show stronger population-specific environmental or reciprocal-fitness divergence than C-only,independent soil/climate/population-environment contrasts or reciprocal-transplant evidence,Same-literature direct-evidence screen plus independent macroclimate spatial-structure screen,literature_signal_independent_macroclimate_null,"Direct local-adaptation evidence: S 3/7 vs C 0/11, Fisher p=0.0429; same-literature ascertainment prevents confirmatory use. Independent spatial climate structure metrics were null.",2,Disa porrecta 10.1093/aob/mcaf074; Eruca sativa 10.1093/jisesa/iez038; Linanthus parryae reciprocal-transplant literature
H3_pollinator_geographic_mosaic,Different pollinator guilds or preferences dominate in different regions,S-only/C+S should show stronger geographic turnover in pollinator guild composition/preferences,independent plant-pollinator interaction data across the species range,Same-literature direct evidence only,insufficient,"Direct geographic pollinator-mosaic evidence: S 2/7 vs C 0/11, Fisher p=0.1373",3,Disa porrecta 10.1093/aob/mcaf074; Eruca sativa 10.1093/jisesa/iez038; Trunschke et al. 2021 doi:10.3389/fpls.2021.617851
H4_multi_agent_balancing_selection,Multiple pollinator guilds or selective agents favour different morphs in the same population,C-only/C+S should have more opposing within-population selection regimes than S-only,morph-specific visitation/fitness by multiple agents measured in the same populations,Same-literature examples only,insufficient,"Strong examples exist (e.g. Raphanus seasonal bee/syrphid preferences), but comparative sample is too small",4,Sapir et al. 2021 doi:10.1016/j.tree.2021.01.011; Raphanus sativus 10.2307/2444019
H6_autonomous_reproductive_assurance,Autonomous selfing rescues a morph disadvantaged under pollinator-mediated selection,C-only/C+S should show higher autonomous selfing/autofertility than S-only,"autofertility or spontaneous selfing, not self-compatibility alone",Manual breeding-system audit; global SC/SI database sensitivity,candidate_weak,"SC vs SI itself null (complete-case Fisher p≈1.0). Broad autonomous-selfing evidence C 4/7 vs S 0/6, p=0.0699; strict direct subset 3/6 vs S 0/6, p=0.1818.",5,Silene littorea 10.1111/plb.13209; Sapir et al. 2017 review PMID 28430395
H15_phenological_partitioning,Morphs differ in flowering time and therefore experience different pollinators or abiotic regimes,Within-population phenological differences can stabilize C; geographic phenological turnover can contribute to S,morph-specific flowering phenology and pollinator/climate histories,Same-literature examples only; dynamic climate protocol does not yet include morph-specific phenology,pending,Gentiana provides a strong within-population temporal example; comparative test pending,6,Gentiana leucomelaena 10.1002/ece3.2899; 10.1657/1938-4246-43.3.410
H7_gene_flow_connectivity_balance,Gene flow homogenizes nearby populations whereas restricted connectivity permits spatial sorting,Higher functional connectivity should favour C; lower gene flow/connectivity should favour S,"population-genetic connectivity, dispersal kernels, or defensible landscape resistance",GBIF distance-connectivity/fragmentation proxies,proxy_null_true_gene_flow_untested,Range size and GBIF fragmentation proxies did not discriminate C/S; these are not gene-flow measurements,6,Sapir et al. 2017 review PMID 28430395; Ipomoea purpurea population-genetic literature
H5_pollinator_herbivore_antagonism,Opposing pollinator and herbivore/florivore selection prevents fixation,C-only/C+S should be enriched for documented opposing biotic selection,independent or experimental morph-specific pollination and herbivory fitness components,Same-literature direct-evidence screen,insufficient,"Clear focal example in Raphanus; direct herbivory evidence broadly C 2/11 vs S 0/7, Fisher p=0.4967",7,Raphanus sativus 10.1890/0012-9658(2003)084[1733:trohit]2.0.co;2
H10_seed_bank_storage_effect,Dormancy stores morphs across years and converts temporal fitness reversals into stable local coexistence,C-only/C+S should have stronger seed-bank persistence/dormancy where temporal selection fluctuates,seed-bank longevity/persistence or germination fraction data,No adequate global cross-species data linked yet,pending,Not tested,8,Linanthus parryae fluctuating-selection literature; storage-effect theory
H8_drift_founder_history,Founder events or drift generate spatially patchy morph frequencies without current adaptive sorting,"S should associate with low effective population size, isolation, or neutral genetic structure unexplained by environment",neutral population-genetic structure and demographic history,No adequate cross-species independent dataset,pending,Species-level examples exist but no comparative test,9,Sapir et al. 2021 doi:10.1016/j.tree.2021.01.011; Trillium sessile 10.1111/j.1442-1984.1987.tb00033.x
H9_clonal_persistence,Clonal persistence slows local loss of colour genotypes and can maintain coexistence,C-only/C+S should have greater clonality/persistence than S-only,global clonality or clonal persistence traits with balanced coverage,CLO-PLA exact/safe-synonym coverage audit,not_testable_current_database,"Only 4/18 pure-state species covered; C 1/2 clonal vs S 1/2, Fisher p=1.0. Missing values not coded non-clonal.",10,Sapir et al. 2017 review PMID 28430395; CLO-PLA database
H12_frequency_dependent_selection,Rare-morph advantage prevents local fixation,C-only/C+S should be enriched for negative frequency-dependent fitness/visitation,frequency manipulation or repeated fitness-frequency estimates,Literature map only,pending,Mechanism is established in theory/examples but not yet comparable across the v6 sample,11,Sapir et al. 2021 doi:10.1016/j.tree.2021.01.011
H13_overdominance_genetic_architecture,Heterozygote advantage or genetic architecture maintains colour alleles locally,C-only/C+S should show overdominant genotype-fitness relationships more often than S-only,genotype-phenotype-fitness data,Literature map only,pending,Genetic basis is documented for several species but maintenance by overdominance is not broadly testable yet,12,Sapir et al. 2021 doi:10.1016/j.tree.2021.01.011
H14_reproductive_interference_character_displacement,Interactions with congeners/heterospecific pollen favour spatial colour divergence,S should increase where sympatry/heterospecific interference differs geographically,co-occurrence with congeners plus reproductive-interference evidence,Not yet tested,pending,No comparative v6 test yet,13,Reproductive character displacement literature (e.g. Leavenworthia)
H16_plasticity_or_nonheritable_colour,Environmentally induced colour can mimic FCP without stable colour-genotype polymorphism,Cases lacking heritability should not be interpreted with balancing-selection genetics,common garden or inheritance evidence,Audit guard only,confound_guard,"Treat as an exclusion/interpretation guard, not a driver hypothesis",14,General FCP genetic-basis literature
