instance_id,species,family,natural_white_polymorphism,primary_gene_or_node,molecular_route,tissue_scope_evidence,architecture_class,strict_for_gate,source_doi,reason
IP_A,Ipomoea purpurea,Convolvulaceae,yes,CHS-D,structural_loss,"white A-locus affects floral and vegetative pigmentation; early-pathway structural lesion",SYS,yes,"10.1266/ggs.73.105;10.1046/j.1365-294X.2003.01786.x","systemic/extra-floral early structural disruption"
IP_W,Ipomoea purpurea,Convolvulaceae,yes,IpMYB1/R2R3-MYB,regulatory_loss,"W locus is a regulatory MYB controlling floral anthocyanin structural-gene expression; no systemic structural knockout",DEC,yes,"10.1266/ggs.73.105;10.1093/genetics/170.4.1967","regulatory white-flower mechanism"
PARRYA_CHS,Parrya nudicaulis,Brassicaceae,yes,CHS,cis_regulatory_downregulation,"~24-fold reduction in white petals without comparable reduction in leaves/sepals",DEC,yes,"10.1371/journal.pone.0018230;10.1371/journal.pone.0101338","direct petal-specific decoupling"
GYMN_MYB,Gymnadenia rhellicani,Orchidaceae,yes,R2R3-MYB -> ANS,regulatory_loss,"natural black/red/white polymorphism caused by truncating MYB alleles; extra-floral scope not required for DEC regulatory class",DEC,yes,"10.1038/s41467-018-07936-x","resolved regulatory mechanism"
MIM_DFR,Mimulus lewisii,Phrymaceae,yes,DFR,structural_frameshift,"white morph lacks anthocyanin in both floral and vegetative tissues",SYS,yes,"10.1371/journal.pone.0081173","direct systemic structural loss"
GLOSS_DFR,Glossodia major,Orchidaceae,yes,DFR1,structural_frameshift_plus_downregulation,"white-specific DFR frameshift plus 8-20-fold DFR downregulation across petal and stem contrasts",SYS,yes,"10.1111/mec.17334","extra-floral multi-tissue structural/regulatory disruption"
IOCH_DFR,Iochroma calycinum,Solanaceae,yes,DFR,structural_deletion,"causal DFR deletion; TLC measured floral and leaf tissue; neither blue nor white morph had detectable leaf anthocyanidins, and the authors infer little DFR activity outside flowers",UNRESOLVED,no,"10.3732/ajb.1400395","structural allele has little demonstrated extra-floral anthocyanin target, so it is neither a strict systemic-loss case nor a regulatory/tissue-specific DEC case under the frozen definitions"
PLEIONE_NETWORK,Pleione limprichtii,Orchidaceae,yes,"FLS/ANS/UFGT/MYB-bHLH-WD40",pathway_rerouting_and_regulation,"natural white/pink/purple molecular convergence but no single resolved causal architecture",UNRESOLVED,no,"10.3390/ijms21010247","candidate network rather than strict causal instance"
SILENE_F3H,Silene littorea,Caryophyllaceae,yes,"F3H/candidate Myb1a",expression_downregulation,"strong white-petal expression/biochemical difference but causal regulator remains candidate",UNRESOLVED,no,"10.3389/fpls.2016.00204","not strict causal mechanism for primary gate"

ARUNDINA_DFR,Arundina graminifolia,Orchidaceae,yes,DFR,structural_frameshift_insertion,"natural white variants carry a >107 bp coding insertion causing premature termination; molecular and histological work is floral and does not resolve extra-floral anthocyanin consequences",UNRESOLVED,no,"10.3390/plants14111680","natural structural white mechanism is direct, but tissue scope is insufficient for DEC versus SYS"
DIGITALIS_ANS,Digitalis purpurea,Plantaginaceae,yes,ANS,structural_TE_insertion,"white and magenta cultivated-source plants differ by a ~14.2 kb ANS insertion; genotyped plants also used petiole pigmentation as an initial anthocyanin phenotype, but the molecular material came from plants already in garden cultivation",UNRESOLVED,no,"10.1186/s12864-026-12889-3","species has natural white polymorphism, but direct molecular provenance and natural field white morph are not linked tightly enough for the strict gate"
