species,pre_frame_classifiable_photos,pre_frame_occupied_h1_cells,pre_frame_morph_levels,climate_complete_cells,climate_complete_classifiable_photos,cell_pairs,climate_colour_spearman_rho,mean_pairwise_h1_cell_centroid_great_circle_km,max_pairwise_h1_cell_centroid_great_circle_km,mean_climate_rms_distance,mean_colour_jsd_bits
Geranium sylvaticum,12,6,2,6,12,15,-0.45714285714285713,2724.0987989599694,5198.3508026172185,0.6637171557842242,0.0960549463068972
Gloriosa superba,37,18,3,17,34,136,0.034893373407757264,9072.373424133051,20015.114442035923,1.1246178577868255,0.19578015373240099
Hibiscus tiliaceus,14,11,3,11,14,55,-0.11587301587301589,6279.823580343258,12966.373280296322,0.7315142818283786,0.3648880903086011
Hippobroma longiflora,15,10,2,10,15,45,0.1259562821948621,9946.366423325248,18587.41537896468,0.892446847771276,0.17476328176046638
Ipomoea cairica,18,15,4,15,18,105,0.02481857764876633,9488.137773918354,20015.114442035923,0.972535878852073,0.3203611620084815
Ipomoea indica,15,12,2,11,14,55,-0.13434343434343435,10593.905827807648,20015.114442035923,1.102371120782267,0.10848385604382631
Ipomoea pes-caprae,38,24,4,21,33,210,-0.043257864609822706,10061.04852844393,20015.114442035923,0.855844754437293,0.25905706798239264
Jatropha gossypiifolia,10,8,3,7,9,21,-0.02207792207792208,9241.112873588992,17847.369127184957,0.9452332336506046,0.23193355895167955
Kalmia procumbens,24,6,3,6,24,15,-0.04285714285714286,2971.8262227347327,5670.717036529427,0.45726246672774706,0.10042532211816563
Lamium purpureum,15,8,3,8,15,28,-0.0695128626163109,6392.545128802388,10502.489842315237,0.6666117718602474,0.21272581781104422
Lantana camara,48,29,3,28,47,378,0.014079118346245999,10096.978458048783,20015.114442035923,0.9947460763147603,0.21244214623747432
Lathyrus tuberosus,30,9,2,9,30,36,0.02290862290862291,3795.4065323391364,9887.366118639853,0.6720062011991133,0.11731959908007696
Leucaena leucocephala,18,12,3,10,15,45,0.2061923583662714,10290.301561564558,18587.41537896468,1.128825479039482,0.07424095263540219
Luffa aegyptiaca,11,7,2,7,11,21,-0.004552851547167105,8916.313641989596,20015.114442035923,0.9884753347230324,0.26566084894159187
Lupinus nootkatensis,16,5,2,5,16,10,0.3212121212121212,3786.0669642304188,5964.130701893073,0.40342884974214455,0.07997554905206875
Mimosa pudica,36,19,3,18,35,153,-0.13676236044657097,8336.628839773963,20015.114442035923,0.617561358560592,0.15699155358390113
Momordica charantia,17,13,2,13,17,78,0.024292163532669858,10125.76790017369,20015.114442035923,0.8671581943492094,0.10933933314942167
Morinda citrifolia,11,10,3,8,8,28,0.04218023883560654,5310.489454060685,11091.429878443443,0.5228051159844288,0.21329834005649753
Nicotiana glauca,10,9,2,8,9,28,0.030651340996168588,8190.002659212545,16047.354103237929,0.96361721182602,0.2506052652894851
Oenothera rosea,11,5,2,5,11,10,-0.5272727272727272,10416.390180288963,15585.083555300997,1.0700364824568962,0.144491724081469
Oreomecon radicata,10,4,2,4,10,6,0.37142857142857144,2986.0380390501864,5198.350802617219,0.560800366877772,0.38154904410510576
Oxalis barrelieri,13,6,2,6,13,15,-0.15714285714285714,11526.856119698585,20015.114442035923,1.077375299118102,0.16504200790604656
Oxalis corniculata,20,15,2,14,18,91,0.2552476508998248,8130.733571082361,18024.9460869903,1.057444933137156,0.12308297878317222
Oxalis debilis,13,9,3,8,12,28,0.21401204159824852,10228.128517931158,20015.114442035923,1.124765687741612,0.21245308043751163
Oxalis obtusa,10,3,3,3,10,3,0.9999999999999998,1957.7398089281057,2504.4763716589423,0.9741669814128983,0.18311334626396505
Parnassia palustris,36,14,2,14,36,91,-0.04315973881191273,4548.032299468545,8390.305901942897,0.7184204627730576,0.010956512298614536
Pemphis acidula,16,10,2,9,13,36,0.45019305019305017,6629.886074914796,17388.267869805102,0.8976520329205651,0.173372859777853
Persicaria capitata,14,10,2,10,14,45,-0.2617918313570487,9819.532687199257,18024.9460869903,1.002669089281003,0.0970500828252438
Phyla nodiflora,11,8,2,5,5,10,0.3090909090909091,10161.079305059355,17080.920908159093,0.8253677060940865,0.10411227409521986
Platanthera convallariifolia,10,3,2,3,10,3,0.4999999999999999,1344.74266203248,2004.77254618119,0.6573213370222424,0.09350593203736714
Pontederia crassipes,17,13,2,13,17,78,0.11812238394516873,10552.026927947529,20015.114442035923,0.9491562398357964,0.16328736946050207
Pulsatilla nuttalliana,14,8,3,8,14,28,0.07443897099069514,3292.3384504990936,7233.007453707223,0.5262430447565876,0.35868029449650896
Rubus chamaemorus,19,11,3,11,19,55,0.2624098124098124,4364.7484884693595,8254.378718588125,0.6263715173722348,0.06898941466825646
Ruellia simplex,13,8,3,8,13,28,-0.024083196496989603,9440.403836553809,18587.41537896468,0.7404557739126882,0.24173117647324388
Saxifraga oppositifolia,17,7,2,7,17,21,0.05974025974025974,4096.897624544305,6063.700000700621,0.708556603154447,0.07488311344211264
Scaevola taccada,36,19,2,16,24,120,-0.16779637474824644,9285.344553902043,18587.41537896468,0.7462943453301009,0.06711571489673816
Silene acaulis,18,8,3,8,18,28,-0.0695128626163109,3630.630502618117,8390.305901942897,0.6307166619382055,0.17784325111110408
Silene involucrata,13,3,2,3,13,3,0.9999999999999998,3594.025980599803,5198.350802617219,0.44230546899784917,0.07240962375214337
Silybum marianum,10,7,4,7,10,21,0.2506493506493506,7472.662430172322,15149.02395216417,1.1130488620272794,0.24097784891659005
Spathodea campanulata,11,8,4,8,11,28,0.06677613574165299,9486.616611922733,18587.41537896468,0.6967414880921842,0.18307368755249537
Spathoglottis plicata,15,10,3,10,15,45,0.13201581027667983,8593.777666058388,17080.920908159093,0.6116578785735362,0.35681066615353996
Synedrella nodiflora,21,13,2,11,18,55,-0.18049242132377977,8879.019406328887,20015.114442035923,0.9052517507450798,0.10387670896045091
Taraxacum officinale,24,16,2,16,24,120,-0.1709563164108619,8309.762542389566,20015.114442035923,0.83290822591442,0.13280011670091488
Tridax procumbens,56,29,2,26,51,325,-0.029072763183192633,10188.888328922674,20015.114442035923,1.0171121181769565,0.038499659885207815
Trifolium pratense,21,16,3,16,21,120,0.21912632821723735,6241.214917288137,14951.240280337886,0.8874733230379958,0.28227621044508383
Trifolium repens,23,15,2,15,23,105,0.018401409910843877,9208.086594402486,20015.114442035923,1.1114738311909302,0.05194740365393132
Tripleurospermum inodorum,10,5,2,5,10,10,-0.40606060606060607,4352.423959420795,7233.007453707225,0.6804089516630984,0.06648539851634724
Turnera subulata,23,11,2,11,23,55,0.26327561327561333,9114.754737508296,20015.114442035923,0.6348796592626015,0.1353811114225531
Veronica chamaedrys,11,5,2,5,11,10,0.05454545454545454,2114.903889606926,3483.950573601759,0.4792552442812289,0.11680267625961493
Veronica persica,11,7,3,6,10,15,0.03571428571428571,8298.004067108743,16257.365503714072,0.8298613723443259,0.16760107627813386
Viola altaica,20,3,3,3,20,3,0.4999999999999999,2602.579224869101,3483.9505736017595,0.7225406386458987,0.44733934746920495
Viola tricolor,11,6,2,6,11,15,-0.2714285714285714,4177.084591105397,7233.007453707228,0.8544109264938576,0.23391657736199303
