measurement_id,cell_id,observation_id,photo_id,photo_license,attribution,species,inat_taxon_id,latitude,longitude,positional_accuracy_m,observed_on,observer_id,observer,morph,measurement_status,roi_status,failure_reasons,image_sha256,flower_effective_pixels,background_effective_pixels,horizontal_flip_mask_iou,horizontal_flip_colour_delta_e,mask_pixels,nuisance_pixel_fraction,palette_count_white,palette_count_yellow,palette_count_orange,palette_count_red,palette_count_pink,palette_count_magenta,palette_count_purple,palette_count_blue,palette_count_bronze,palette_count_green,palette_count_brown,palette_count_black,flower_fraction_white,flower_fraction_yellow,flower_fraction_orange,flower_fraction_red,flower_fraction_pink,flower_fraction_magenta,flower_fraction_purple,flower_fraction_blue,flower_fraction_bronze
FCPR-E3B9C18F37C4C05CE7615948,100,10178896,14054586,cc-by-nc,"(c) Paola Ferruzzi, some rights reserved (CC BY-NC)",Kniphofia foliosa,467990,13.23264783,38.07233283,5.0,2018-03-06,39797,paolaferruzzi,yellow_orange,classified_four_state_morph,automated_colour_state_admitted,,b0b8b415bf27e4eb1bf4c368da2710cc024b9028fc9223f736403f35c107603f,9220,16107.0,0.9276046584828456,0.656903055568642,9220.0,0.082646420824295,408.0,3823.0,2156.0,44.0,0.0,0.0,0.0,0.0,2027.0,324.0,428.0,10.0,0.048238354220856,0.4519981082998345,0.2549065973043272,0.0052021754551903,0.0,0.0,0.0,0.0,0.2396547647197919
FCPR-8726249D872030049766889C,100,10185942,14066693,cc-by-sa,"(c) Stefano Menchetti, some rights reserved (CC BY-SA)",Rosa abyssinica,628076,13.2355057681,38.0455470085,5.0,2018-03-06,35165,menchettistefano,mixed_uncertain,not_evaluable_roi_or_flip_gate,automated_colour_state_not_evaluable,horizontal_flip_colour_instability,2c855edb68da92ac595541eb3158dd0b39829e827789229cfdc7b55ba7ff0439,46011,92796.0,0.7645661945551692,8.138250740687743,46011.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCPR-428ABE3709817F7E9A0E9F00,100,10186059,14066855,cc-by-sa,"(c) Stefano Menchetti, some rights reserved (CC BY-SA)",Kniphofia foliosa,467990,13.232715223,38.072323585,10.0,2018-03-06,35165,menchettistefano,yellow_orange,classified_four_state_morph,automated_colour_state_admitted,,f0e4e84af76cdd8c86ad9113f17bfe2e3d2ed8bfb5ea2f462331618049d96d49,8925,15317.0,0.7038059554328535,1.3116075714815705,8925.0,0.0542296918767507,267.0,3715.0,2136.0,123.0,0.0,0.0,0.0,0.0,2200.0,26.0,438.0,20.0,0.0316313233029261,0.4401137306006397,0.2530505864234095,0.014571733206966,0.0,0.0,0.0,0.0,0.2606326264660585
FCPR-CFA1E0EFF7395D9F264F2A20,100,10260160,14197866,cc-by-sa,"(c) Stefano Menchetti, some rights reserved (CC BY-SA)",Helichrysum horridum,1080550,13.2455555443,38.0881695729,5.0,2018-03-06,35165,menchettistefano,yellow_orange,classified_four_state_morph,automated_colour_state_admitted,,1cacf3d337583a3567310fe565549b3ad9fce6aa48b2371a05753f6121db536a,42828,65733.0,0.6433285509325681,0.7433702405172602,42828.0,0.0566685346035304,2484.0,17219.0,701.0,0.0,0.0,0.0,0.0,0.0,19997.0,0.0,2310.0,117.0,0.0614836266429048,0.4262023217247098,0.0173510556669389,0.0,0.0,0.0,0.0,0.0,0.4949629959654464
FCPR-F8A9D8BBEA6EDD8933785FA9,100,10299295,14265114,cc-by-sa,"(c) Stefano Menchetti, some rights reserved (CC BY-SA)",Achyranthes aspera,157960,12.0319508063,39.0458066203,5.0,2018-03-10,35165,menchettistefano,red_pink,classified_four_state_morph,automated_colour_state_admitted,,d046dce7fbd26d7002c2c5093526e7fb001f6d361dbbf04e1d428c9cb3a24f95,11021,23886.0,0.6654055332229841,1.68175216075675,11021.0,0.0453679339442881,2630.0,188.0,106.0,0.0,6113.0,97.0,0.0,3.0,1384.0,68.0,430.0,2.0,0.2499762380001901,0.0178690238570478,0.0100750879193992,0.0,0.5810284193517726,0.0092196559262427,0.0,0.0002851439977188,0.1315464309476285
FCPR-1B3C777BCD6497065E20469D,100,10299428,14265343,cc-by-sa,"(c) Stefano Menchetti, some rights reserved (CC BY-SA)",Duranta erecta,162153,13.4905581968,39.4598982856,5.0,2018-03-15,35165,menchettistefano,blue_purple,classified_four_state_morph,automated_colour_state_admitted,,1ea669a03795b3d7d85bf4536feeb82e51500ef36489a2c33022441a91fc34ec,15752,30403.0,0.8353478527265638,1.9465929118600025,15752.0,0.0806881665820213,4995.0,138.0,0.0,0.0,43.0,0.0,2373.0,6889.0,43.0,318.0,702.0,251.0,0.3449347420758235,0.0095297286099026,0.0,0.0,0.0029694081900421,0.0,0.1638698984876735,0.4757268144465161,0.0029694081900421
FCPR-1FBE73EA9C6E7DB1DE502690,100,10299508,14265414,cc-by-sa,"(c) Stefano Menchetti, some rights reserved (CC BY-SA)",Ruta chalepensis,78917,13.9382863138,39.3756115437,5.0,2018-03-16,35165,menchettistefano,yellow_orange,classified_four_state_morph,automated_colour_state_admitted,,9da8c17a2ccefe37806aeedf6929a69195d01b5afce4fdd4b45c876e79ff3b91,23205,43682.0,0.7564388864076225,0.105328435293653,23205.0,0.2777849601379013,434.0,14341.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.0,5525.0,869.0,52.0,0.0258965332060385,0.8557193149949281,0.0,0.0,0.0,0.0,0.0,0.0,0.1183841517990333
FCPR-7BB3E07A8058CC187F656EE9,100,106156362,178277617,cc-by-nc,"(c) Doug Macdonald, some rights reserved (CC BY-NC)",Helichrysum citrispinum,347395,7.0522938036,39.7035798089,4542.0,2022-01-23,2675197,dougmacsafaris,mixed_uncertain,not_evaluable_roi_or_flip_gate,automated_colour_state_not_evaluable,horizontal_flip_mask_instability;horizontal_flip_colour_instability,403fc4c19d2ea42faa4f545ca6472bd6e012c0f5c18840508c151e3a24742a4f,114,178.0,0.0,5.449646574806056,114.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCPR-87E6915E1AE002B9D74BA986,100,106156364,178277682,cc-by-nc,"(c) Doug Macdonald, some rights reserved (CC BY-NC)",Haplocarpha rueppellii,1078271,7.0522938036,39.7035798089,4542.0,2022-01-23,2675197,dougmacsafaris,yellow_orange,classified_four_state_morph,automated_colour_state_admitted,,bc959f22a8b19a34fbfae2a9881da88646031ed1aa4725072e6c06c6ca046406,15088,32508.0,0.984046743697479,0.1117248326297821,15088.0,0.0306203605514316,0.0,11866.0,165.0,0.0,0.0,0.0,0.0,0.0,2595.0,5.0,296.0,161.0,0.0,0.8112949541911664,0.0112812799124846,0.0,0.0,0.0,0.0,0.0,0.1774237658963489
FCPR-4FCC7479BE437E5551D9AF9D,100,106156365,178277717,cc-by-nc,"(c) Doug Macdonald, some rights reserved (CC BY-NC)",Helichrysum splendidum,343053,7.0522938036,39.7035798089,4542.0,2022-01-23,2675197,dougmacsafaris,white,classified_four_state_morph,automated_colour_state_admitted,,eaf5191780bc712d1883c783f4ab2f6e75f50f4175b328d0fc015dda3892d33d,59161,103309.0,0.5282660985499278,1.6866575938889437,59161.0,0.2667466743293724,38743.0,3449.0,318.0,0.0,0.0,0.0,0.0,0.0,870.0,2.0,11420.0,4359.0,0.8931074227754726,0.0795066851083448,0.0073305670816044,0.0,0.0,0.0,0.0,0.0,0.0200553250345781
