measurement_id,species,inat_taxon_id,observation_id,photo_id,photo_license,attribution,latitude,longitude,positional_accuracy_m,observed_on,observer_id,observer,row_hash,h9_selection_order,query_species,morph,measurement_status,roi_status,failure_reasons,image_sha256,flower_effective_pixels,background_effective_pixels,horizontal_flip_mask_iou,horizontal_flip_colour_delta_e,mask_pixels,nuisance_pixel_fraction,palette_count_white,palette_count_yellow,palette_count_orange,palette_count_red,palette_count_pink,palette_count_magenta,palette_count_purple,palette_count_blue,palette_count_bronze,palette_count_green,palette_count_brown,palette_count_black,flower_fraction_white,flower_fraction_yellow,flower_fraction_orange,flower_fraction_red,flower_fraction_pink,flower_fraction_magenta,flower_fraction_purple,flower_fraction_blue,flower_fraction_bronze,h9_classifiable
FCPR-ED823873FFFB2EC04B793130,Taraxacum officinale,47602,143599095,246297803,cc-by-nc-sa,"(c) Colin Meurk, some rights reserved (CC BY-NC-SA)",-45.0278784,168.6560272,98.0,2022-12-04,5302,meurkc,6003f7bfef206fc211b4c2b842504e1dd59a7346fada38bf6c4c31408712ed5d,1,Taraxacum officinale,mixed_uncertain,not_evaluable_roi_or_flip_gate,automated_colour_state_not_evaluable,horizontal_flip_colour_instability,e7ea56f7fb299387d4f1c7387a4375cbe27f174286c260abf50127c0a80a705e,29615,72225.0,0.7522861260317044,10.888823297766224,29615.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
FCPR-48B66F884FD7221FB68A1E0A,Taraxacum officinale,47602,32209591,50498247,cc-by-nc,"(c) Simão Mateus, some rights reserved (CC BY-NC)",39.2842482977,-9.220542706,2.0,2019-09-06,1997051,simaomateus,3fada1945a3eb6332b9014583cb91d82e4abd905872c3282bc7eadf91a263e3b,2,Taraxacum officinale,mixed_uncertain,not_evaluable_roi_or_flip_gate,automated_colour_state_not_evaluable,no_retained_flower_instance;insufficient_flower_pixels;insufficient_background_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,a2954971346a334e3f5db544d3acb1c0c6cd14fe67ba2c61cf8816e6e7cba2a9,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
FCPR-9A60A1B1833F701D118FA514,Taraxacum officinale,47602,72695166,118567108,cc-by-nc,"(c) bio96, some rights reserved (CC BY-NC)",35.9103653646,128.6133688385,4.0,2021-03-30,577909,bio96,530c2b8f8eb181a1c2acceb5777aad67bcc9a770a070319ac5d03c310d5b62d8,3,Taraxacum officinale,yellow_orange,classified_four_state_morph,automated_colour_state_admitted,,73c2c0ff70329c6d361c12730d04c41796bfdb43fcaa00013766f4f0db9def9d,61348,117797.0,0.9485533095521204,0.3019259607771078,61348.0,0.0422181652213601,806.0,52367.0,1257.0,0.0,188.0,154.0,6.0,0.0,3980.0,1129.0,1181.0,280.0,0.0137172810510909,0.8912318322611389,0.0213928316144184,0.0,0.0031995643146465,0.0026209197045508,0.0001021137547227,0.0,0.0677354572994315,True
FCPR-0A92CB7AE60371282518D7FA,Taraxacum officinale,47602,94398702,156588439,cc-by,"(c) Tomás Carranza Perales, some rights reserved (CC BY)",-31.3177947465,-64.5014056563,21.0,2021-07-16,2512321,tomascarper,9839f7a6d1a009ea8b321ecb5247c80018ed30b6312ef1704b1998b624c5a2b7,4,Taraxacum officinale,mixed_uncertain,not_evaluable_roi_or_flip_gate,automated_colour_state_not_evaluable,no_retained_flower_instance;insufficient_flower_pixels;insufficient_background_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,ae4f92deab53dc57d7042ef518629bb798ba80cdaa96ed4897bd78ed3c502b00,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
FCPR-ED1E38252882E50E994ABBE9,Taraxacum officinale,47602,79206897,129712354,cc-by-nc,"(c) rlbutler260, some rights reserved (CC BY-NC)",34.0244,-118.3136972222,4.0,2021-05-17,3774387,rlbutler260,e89ca408fc535bdf037e679c7e21c4acdc2685dd31937197bb3f0ad2d430a829,5,Taraxacum officinale,yellow_orange,classified_four_state_morph,automated_colour_state_admitted,,ead7d501641a45208fa45c8b195982b3a62f18a58c863b9d5ffdf9563b886948,8554,16184.0,0.9814126394052044,0.204687255051975,8554.0,0.0379939209726443,9.0,8102.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,240.0,79.0,6.0,0.0010936930368209,0.9845667760359704,0.0,0.0,0.0,0.0,0.0,0.0,0.0143395309272086,True
FCPR-6210B48A3CEC8EC9DB80F9C7,Taraxacum officinale,47602,166799100,288876807,cc-by-nc,"(c) Athol Ferguson, some rights reserved (CC BY-NC)",-26.1596861667,28.0025222167,14.0,2023-06-11,1453825,athol_ferguson,c178f742ad4399c46b28280f5d26a88acbccc3557e0a8b8f612621bbb7971702,6,Taraxacum officinale,mixed_uncertain,not_evaluable_roi_or_flip_gate,automated_colour_state_not_evaluable,no_retained_flower_instance;insufficient_flower_pixels;insufficient_background_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,34d7f8e68393fb97d1c3c78a35c8f30683990b6acec7cfa42023c81422f90208,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
FCPR-03471E133802C3CBF438E45A,Taraxacum officinale,47602,383830142,702548863,cc-by-nc,"(c) vlasovav, some rights reserved (CC BY-NC)",55.049280512,61.4527981728,3.0,2026-07-18,5604155,vlasovav,ce683d002d602bfb103e8e727813d10dcb73ee58523599a1fe1098995584869d,7,Taraxacum officinale,mixed_uncertain,not_evaluable_roi_or_flip_gate,automated_colour_state_not_evaluable,horizontal_flip_mask_instability;horizontal_flip_colour_instability,67f61377386aac85360e38a670912adcc0216cb0ce52a91202a797dc2f0d9fe9,93923,161698.0,0.0,,93923.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
FCPR-9655D2E55B6BD8FCC3F18336,Taraxacum officinale,47602,324388219,587117151,cc-by-nc,"(c) grivesolitaire, some rights reserved (CC BY-NC)",44.48332,-63.7898833333,3.0,2025-11-01,3502842,grivesolitaire,775b3a39c75727c15439b5c7aa2ee9403b7ddbd869d2cb5319aedeafffc37dcd,8,Taraxacum officinale,yellow_orange,classified_four_state_morph,automated_colour_state_admitted,,d0bf4335dab7249a24b071a3c0d3ec1441db7b1139995dbedb92ee2de57ec553,5886,13991.0,0.9708347301374456,0.231505248027664,5886.0,0.0164797825348284,0.0,5415.0,184.0,0.0,0.0,0.0,0.0,0.0,190.0,57.0,40.0,0.0,0.0,0.9353947141129728,0.0317844187251684,0.0,0.0,0.0,0.0,0.0,0.0328208671618587,True
FCPR-04A6F4B604D63DDDE28ACCF2,Taraxacum officinale,47602,15901992,23780205,cc-by-nc-sa,"(c) Gabriel Camilo Jaramillo Giraldo, some rights reserved (CC BY-NC-SA)",6.8494491394,-75.6843479939,8.0,2018-08-24,86081,camilojotage,df4a44d6c09d41bbf14d83ff7ae2903787401d40b106e205ce9d48b087730539,9,Taraxacum officinale,yellow_orange,classified_four_state_morph,automated_colour_state_admitted,,611e7b9bc16f32dd61749b0d39c6099d0b9d5d686769082497bbd4f4f166dd7b,6183,12660.0,0.9676390881555874,0.0826340916673094,6183.0,0.2070192463205563,216.0,4678.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1197.0,82.0,1.0,0.0440546604119926,0.9541097287375075,0.0,0.0,0.0,0.0,0.0,0.0,0.0018356108504996,True
FCPR-F12EE487959B2D5FADAA9FD2,Taraxacum officinale,47602,59585608,95196744,cc-by-nc,"(c) Богданович Светлана, some rights reserved (CC BY-NC)",54.195932871,158.0564012443,219.0,2015-06-25,2788085,svetlana-bogdanovich,9e78775cfa20d39a84408ed1666c38cb462d3acf230347f497472c460216705f,10,Taraxacum officinale,yellow_orange,classified_four_state_morph,automated_colour_state_admitted,,4d6406d3a714294f3d46ef8a8b774fcddb70cb8883d60e64be57545e2f305de7,41551,60713.0,0.8581658634172956,0.4538992308200432,41551.0,0.0740535727178648,4016.0,30263.0,980.0,2.0,0.0,0.0,0.0,0.0,3213.0,2024.0,968.0,85.0,0.1043821801736237,0.7865831470603525,0.0254717471539221,5.1983157456983934e-05,0.0,0.0,0.0,0.0,0.0835109424546447,True
