permutation_index,primary,observer_pair_exclusion,calendar_quarter_stratification,matched_background_differential
0,-0.0015257660570402898,0.0003322611734181254,0.003067366966252458,0.005201527835309875
1,0.004358801254238732,-0.006857343027140544,-0.0014084642527520655,-0.0008191230681056563
2,0.0034157938707562387,0.00028551748205234644,0.008378509840142217,-0.0013471111313341257
3,-0.0019946527438618198,0.0014623175578536063,-0.0019997347084588332,0.0066736564023092936
4,-0.00280259175248769,0.004519158719379436,0.0026962737540461475,-0.002103446309887949
5,0.0038066805838506317,0.002935736749319002,0.0009904004350242042,-0.005955093567004831
6,-0.002547587618725357,0.0009011913632218734,-0.0016942448915277075,0.005241432682938239
7,-0.0015270812003793037,0.0008817237470154963,-0.003037139459402838,-0.0002939687027540766
8,-0.003970592661883767,0.00032287328985470534,0.005855595319307206,-0.004314778059663285
9,0.0008177121370503822,0.00016521039152249793,0.003739652136592517,0.005202623867067758
10,-0.0027091661049432852,-0.0038276785128953552,-0.001983212262932432,-0.00031763842061170104
11,0.002476080139850714,0.003216464313697667,0.0007842289630928797,-0.0030712268016239567
12,-0.002942961818939968,-0.0013989178427554305,0.005914648234242261,-0.0004296058031629563
13,0.0021440861318141923,0.005788216198409281,0.00505026207195947,-0.0027236343942541375
14,-0.00600580735111931,0.006396018018701728,0.000559316686806374,0.006647276692309856
15,-0.001579480650845322,0.0004029407427130848,-0.003854976764339265,0.001392444682950025
16,-0.001745055140476752,0.004194889990597412,0.003433448611800573,0.0021418402027827935
17,-0.004411973681730974,0.0007177251071601691,0.0012719574633086826,-0.002998564698570361
18,-0.0003477457938142513,-0.004092444352419048,-8.690136230051622e-05,0.0002592122871358247
19,-0.003613310526525371,0.0015078664804015712,0.003139885684960688,-0.0037228997405205173
20,-0.00036901471666090984,-0.003153279788338698,0.001837572488360545,-0.0006407923084674754
21,0.0011560738961200717,0.00015272481336304664,0.0046503041750229355,-0.0024924703667183446
22,-0.0017401517431477375,-0.0012155091373568067,-0.0006256969289145423,-0.004563027910711798
23,-0.002646710162018296,-0.007010722386272926,0.0020425802560983582,-0.00557252062013947
24,0.0006137860556364415,-0.007992830716422728,0.004859004020595234,0.0003344173568253181
25,0.0005208416987221922,-0.0036025013450996595,0.003000876324700504,0.004738116418711109
26,-0.002157197055029838,-0.0024868374610316044,3.696437558401078e-05,0.005902925964305162
27,0.002318300338350604,0.0056323445072818295,0.0028580111554978834,0.0014251372604918594
28,2.3035563325442515e-05,-0.004224766161960392,0.0002628444829304713,0.0005224121601021508
29,-0.0015141042046813173,0.004246176957507507,0.005953544303132099,0.0011676250475863264
30,-0.0015942739106691588,-0.0018010297783514837,0.0016274391211006506,0.0025947547069724696
31,0.0008849869212692335,0.00308310363585409,0.0044956616311802085,-0.005722277241897554
32,0.0006801238672750504,0.004425202574070547,-0.0016127764526811046,0.0019949819663680644
33,-0.0026377275486220565,-0.0026343196949948065,0.00451485547180939,0.0017101685536725702
34,-0.00177824605474284,-0.0025260464665210584,-0.0005794727501758254,-0.0008337924175010872
35,-0.0002769685969442118,0.002420194513503505,-0.0002695494184354563,0.0005059313077452797
36,0.00251423796770574,0.0028665044179209246,-0.0004133733778321706,-0.0010789091028208162
37,0.0017301675562123651,0.002494153067737959,0.0036298349408911477,0.0027716153479910616
38,0.0007174527981754114,0.008066241602733658,0.006128835286098384,-0.0010016555763283693
39,0.0006148130073188605,-0.003192684317436703,0.005339920261907188,-0.0003024025654598384
40,0.001165529367225728,-0.005232792414178649,0.004483456925659858,0.00020113315851574191
41,0.003806379551360098,-0.003770075825785093,-0.00749470522704765,-0.008108194888206256
42,0.0006961988311487652,0.0043695364428715236,0.0008948693681430971,-0.0031125982276682547
43,-0.001039329099787141,-0.0009028779718520044,0.0006421987752408903,-0.0028806186813432285
44,0.0008743877506547437,0.0023495783560512438,0.0001247641533224015,-0.00288948212934533
45,-0.0025100673134362092,0.004738265280208461,0.004447136431324762,0.0052136996080868366
46,0.005612180757207141,0.005636426040201681,0.003123222573202658,-0.0029293684221338634
47,0.002345333293952791,-0.00010750818579079398,0.0008185196919457372,0.002116679748071374
48,0.003742011994234551,0.003524735548138012,-0.007883584932494452,-0.005520424304556385
49,-0.0024541819598093138,0.0005521777147273051,0.002016028803464597,-0.005478354726399431
50,0.0023187008081081485,0.005908243891309425,0.0022961649392423842,-0.0014607153545755551
51,0.00320829332952507,-0.00106194195637276,-1.1525099959422718e-05,-0.0003240910262620199
