species,permutation_index,saved_rho,direct_scipy_rho,absolute_error
Acacia linifolia,-1,-0.0128124140862778,-0.012812414086277818,1.734723475976807e-17
Acacia linifolia,0,-0.0291824516039187,-0.029182451603918743,4.163336342344337e-17
Acacia linifolia,499,-0.0241951184877576,-0.024195118487757628,2.7755575615628914e-17
Acacia linifolia,998,0.1343775102107369,0.13437751021073693,2.7755575615628914e-17
Loeselia glandulosa,-1,0.0607935289311671,0.06079352893116717,6.938893903907228e-17
Loeselia glandulosa,0,-0.0331737187652619,-0.03317371876526194,4.163336342344337e-17
Loeselia glandulosa,499,0.0425831776323861,0.04258317763238612,2.0816681711721685e-17
Loeselia glandulosa,998,0.0081963637874971,0.008196363787497142,4.163336342344337e-17
Zephyranthes atamasco,-1,0.0088990767595782,0.00889907675957822,2.0816681711721685e-17
Zephyranthes atamasco,0,-0.0303828546100332,-0.030382854610033243,4.5102810375396984e-17
Zephyranthes atamasco,499,-0.0281658177137086,-0.028165817713708644,4.5102810375396984e-17
Zephyranthes atamasco,998,-0.0722437751609616,-0.0722437751609616,0.0
