species,screening_status,provisional_outcome,pollination_mode,evidence_found,remaining_gap,source_citation
Raphanus sativus,primary_citation_found,local_coexistence_candidate,insect,"Primary study explicitly concerns petal-colour variants in wild populations and pollinator responses to colour morphs.","Need full-text confirmation of population-level coexistence coding and exact sampled population structure.","Stanton ML. 1987. Reproductive biology of petal color variants in wild populations of Raphanus sativus: I. Pollinator response to color morphs. American Journal of Botany 74:178-187."
Anacamptis morio,phenotype_only,unknown,insect,"Species-level sources describe natural flowers ranging from white through pink to dark purple; bee pollination is documented.","Need primary population study showing whether multiple colour morphs coexist within the same population versus geographic variation.","Species accounts and pollination literature; primary population-level colour-structure study still required."
Ipomoea purpurea,phenotype_only,unknown,insect,"Natural species descriptions include purple and white flowers and extensive colour variation.","Need primary wild-population evidence separating natural polymorphism from cultivar and domestication effects.","Population-genetic and natural-history literature to be screened."
Iris lutescens,phenotype_only,unknown,insect,"Species descriptions document yellow and violet flowers.","Need primary population-level evidence to distinguish local coexistence from geographic differentiation.","Mediterranean Iris population literature to be screened."
Raphanus raphanistrum,phenotype_only,unknown,insect,"Natural species descriptions report white, yellow and purple petals and diverse insect pollinators.","Need primary population-level frequency data and taxonomic separation from R. sativus study systems.","Wild-radish ecology and population studies to be screened."
Platystemon californicus,primary_source_hint,mixed_candidate,ambophilous,"Classic study is repeatedly cited for flower-colour polymorphism and pollination biology.","Need retrieval and direct coding of the primary paper before promotion.","Hannan 1981, American Journal of Botany."
Epacris impressa,primary_source_hint,mixed_candidate,insect,"Classic raciation series reports floral colour races and polymorphic populations.","Need direct extraction of population counts and spatial outcome coding.","Stace and Fripp raciation series."
Gerbera aurantiaca,primary_source_hint,geographic_mosaic_candidate,insect,"Geographic capitulum-colour variation is reported in the literature.","Need direct primary-paper extraction and confirmation that variation is within species and discrete enough for coding.","Johnson/Edwards/Johnson geographic colour study."
Erythrina sandwicensis,phenotype_only,unknown,bird_or_mixed,"Natural populations are reported to contain multiple flower colours.","Need primary population study and explicit local-versus-geographic structure.","Primary Hawaiian population literature to be screened."
Iris pumila,phenotype_only,unknown,insect,"Marked natural flower-colour variation is well known.","Need population-level coexistence frequencies and exclusion of purely geographic or horticultural variation.","Primary population ecology and genetics literature to be screened."
