cell_id,api_total_results,api_returned,accepted,rejected,duplicate,swlat,swlng,nelat,nelng
0,0,0,0,0,0,-90.0,-180.0,-51.057558731018624,-160.0
1,0,0,0,0,0,-90.0,-160.0,-51.057558731018624,-140.0
2,0,0,0,0,0,-90.0,-140.0,-51.057558731018624,-120.0
3,0,0,0,0,0,-90.0,-120.0,-51.057558731018624,-100.0
4,0,0,0,0,0,-90.0,-100.0,-51.057558731018624,-80.0
5,1906,200,200,0,0,-90.0,-80.0,-51.057558731018624,-60.0
6,87,87,87,0,0,-90.0,-60.0,-51.057558731018624,-40.0
7,33,33,33,0,0,-90.0,-40.0,-51.057558731018624,-20.0
8,0,0,0,0,0,-90.0,-20.0,-51.057558731018624,0.0
9,0,0,0,0,0,-90.0,0.0,-51.057558731018624,20.0
10,0,0,0,0,0,-90.0,20.0,-51.057558731018624,40.0
11,0,0,0,0,0,-90.0,40.0,-51.057558731018624,60.0
12,0,0,0,0,0,-90.0,60.0,-51.057558731018624,80.0
13,0,0,0,0,0,-90.0,80.0,-51.057558731018624,100.0
14,0,0,0,0,0,-90.0,100.0,-51.057558731018624,120.0
15,0,0,0,0,0,-90.0,120.0,-51.057558731018624,140.0
16,42,42,42,0,0,-90.0,140.0,-51.057558731018624,160.0
17,357,200,200,0,0,-90.0,160.0,-51.057558731018624,180.0
18,1190,200,200,0,0,-51.057558731018624,-180.0,-33.74898859588859,-160.0
19,0,0,0,0,0,-51.057558731018624,-160.0,-33.74898859588859,-140.0
20,0,0,0,0,0,-51.057558731018624,-140.0,-33.74898859588859,-120.0
21,0,0,0,0,0,-51.057558731018624,-120.0,-33.74898859588859,-100.0
22,1,1,1,0,0,-51.057558731018624,-100.0,-33.74898859588859,-80.0
23,16891,200,200,0,0,-51.057558731018624,-80.0,-33.74898859588859,-60.0
24,11305,200,200,0,0,-51.057558731018624,-60.0,-33.74898859588859,-40.0
25,0,0,0,0,0,-51.057558731018624,-40.0,-33.74898859588859,-20.0
26,1,1,1,0,0,-51.057558731018624,-20.0,-33.74898859588859,0.0
27,57166,200,200,0,0,-51.057558731018624,0.0,-33.74898859588859,20.0
28,31246,200,200,0,0,-51.057558731018624,20.0,-33.74898859588859,40.0
29,3,3,3,0,0,-51.057558731018624,40.0,-33.74898859588859,60.0
30,9,9,9,0,0,-51.057558731018624,60.0,-33.74898859588859,80.0
31,0,0,0,0,0,-51.057558731018624,80.0,-33.74898859588859,100.0
32,16174,200,200,0,0,-51.057558731018624,100.0,-33.74898859588859,120.0
33,24026,200,200,0,0,-51.057558731018624,120.0,-33.74898859588859,140.0
34,111338,200,200,0,0,-51.057558731018624,140.0,-33.74898859588859,160.0
35,114802,200,200,0,0,-51.057558731018624,160.0,-33.74898859588859,180.0
36,43,43,43,0,0,-33.74898859588859,-180.0,-19.471220634490695,-160.0
37,65,65,65,0,0,-33.74898859588859,-160.0,-19.471220634490695,-140.0
38,7,7,7,0,0,-33.74898859588859,-140.0,-19.471220634490695,-120.0
39,17,17,17,0,0,-33.74898859588859,-120.0,-19.471220634490695,-100.0
40,0,0,0,0,0,-33.74898859588859,-100.0,-19.471220634490695,-80.0
41,23889,200,200,0,0,-33.74898859588859,-80.0,-19.471220634490695,-60.0
42,20579,200,200,0,0,-33.74898859588859,-60.0,-19.471220634490695,-40.0
43,13,13,13,0,0,-33.74898859588859,-40.0,-19.471220634490695,-20.0
44,0,0,0,0,0,-33.74898859588859,-20.0,-19.471220634490695,0.0
45,26430,200,200,0,0,-33.74898859588859,0.0,-19.471220634490695,20.0
46,83173,200,200,0,0,-33.74898859588859,20.0,-19.471220634490695,40.0
47,1365,200,200,0,0,-33.74898859588859,40.0,-19.471220634490695,60.0
48,13,13,13,0,0,-33.74898859588859,60.0,-19.471220634490695,80.0
49,0,0,0,0,0,-33.74898859588859,80.0,-19.471220634490695,100.0
50,30359,200,200,0,0,-33.74898859588859,100.0,-19.471220634490695,120.0
51,5391,200,200,0,0,-33.74898859588859,120.0,-19.471220634490695,140.0
52,68870,200,200,0,0,-33.74898859588859,140.0,-19.471220634490695,160.0
53,1299,200,200,0,0,-33.74898859588859,160.0,-19.471220634490695,180.0
54,105,105,105,0,0,-19.471220634490695,-180.0,-6.379370208442807,-160.0
55,147,147,147,0,0,-19.471220634490695,-160.0,-6.379370208442807,-140.0
56,10,10,10,0,0,-19.471220634490695,-140.0,-6.379370208442807,-120.0
57,0,0,0,0,0,-19.471220634490695,-120.0,-6.379370208442807,-100.0
58,0,0,0,0,0,-19.471220634490695,-100.0,-6.379370208442807,-80.0
59,7560,200,200,0,0,-19.471220634490695,-80.0,-6.379370208442807,-60.0
60,5604,200,200,0,0,-19.471220634490695,-60.0,-6.379370208442807,-40.0
61,6288,200,200,0,0,-19.471220634490695,-40.0,-6.379370208442807,-20.0
62,25,25,25,0,0,-19.471220634490695,-20.0,-6.379370208442807,0.0
63,506,200,200,0,0,-19.471220634490695,0.0,-6.379370208442807,20.0
64,3997,200,200,0,0,-19.471220634490695,20.0,-6.379370208442807,40.0
65,1365,200,200,0,0,-19.471220634490695,40.0,-6.379370208442807,60.0
66,133,133,133,0,0,-19.471220634490695,60.0,-6.379370208442807,80.0
67,22,22,22,0,0,-19.471220634490695,80.0,-6.379370208442807,100.0
68,1221,200,200,0,0,-19.471220634490695,100.0,-6.379370208442807,120.0
69,2970,200,200,0,0,-19.471220634490695,120.0,-6.379370208442807,140.0
70,4956,200,200,0,0,-19.471220634490695,140.0,-6.379370208442807,160.0
71,224,200,200,0,0,-19.471220634490695,160.0,-6.379370208442807,180.0
72,2,2,2,0,0,-6.379370208442807,-180.0,6.379370208442807,-160.0
73,0,0,0,0,0,-6.379370208442807,-160.0,6.379370208442807,-140.0
74,0,0,0,0,0,-6.379370208442807,-140.0,6.379370208442807,-120.0
75,0,0,0,0,0,-6.379370208442807,-120.0,6.379370208442807,-100.0
76,1524,200,200,0,0,-6.379370208442807,-100.0,6.379370208442807,-80.0
77,18759,200,200,0,0,-6.379370208442807,-80.0,6.379370208442807,-60.0
78,4940,200,200,0,0,-6.379370208442807,-60.0,6.379370208442807,-40.0
79,3226,200,200,0,0,-6.379370208442807,-40.0,6.379370208442807,-20.0
80,137,137,137,0,0,-6.379370208442807,-20.0,6.379370208442807,0.0
81,541,200,200,0,0,-6.379370208442807,0.0,6.379370208442807,20.0
82,2890,200,200,0,0,-6.379370208442807,20.0,6.379370208442807,40.0
83,133,133,133,0,0,-6.379370208442807,40.0,6.379370208442807,60.0
84,94,94,94,0,0,-6.379370208442807,60.0,6.379370208442807,80.0
85,352,200,200,0,0,-6.379370208442807,80.0,6.379370208442807,100.0
86,3072,200,200,0,0,-6.379370208442807,100.0,6.379370208442807,120.0
87,328,200,200,0,0,-6.379370208442807,120.0,6.379370208442807,140.0
88,101,101,101,0,0,-6.379370208442807,140.0,6.379370208442807,160.0
89,5,5,5,0,0,-6.379370208442807,160.0,6.379370208442807,180.0
90,43,43,43,0,0,6.379370208442807,-180.0,19.471220634490688,-160.0
91,608,200,200,0,0,6.379370208442807,-160.0,19.471220634490688,-140.0
92,0,0,0,0,0,6.379370208442807,-140.0,19.471220634490688,-120.0
93,3483,200,200,0,0,6.379370208442807,-120.0,19.471220634490688,-100.0
94,46757,200,200,0,0,6.379370208442807,-100.0,19.471220634490688,-80.0
95,11320,200,200,0,0,6.379370208442807,-80.0,19.471220634490688,-60.0
96,89,89,89,0,0,6.379370208442807,-60.0,19.471220634490688,-40.0
97,108,108,108,0,0,6.379370208442807,-40.0,19.471220634490688,-20.0
98,579,200,200,0,0,6.379370208442807,-20.0,19.471220634490688,0.0
99,887,200,200,0,0,6.379370208442807,0.0,19.471220634490688,20.0
100,337,200,199,1,0,6.379370208442807,20.0,19.471220634490688,40.0
101,422,200,200,0,0,6.379370208442807,40.0,19.471220634490688,60.0
102,8939,200,200,0,0,6.379370208442807,60.0,19.471220634490688,80.0
103,3398,200,200,0,0,6.379370208442807,80.0,19.471220634490688,100.0
104,2387,200,200,0,0,6.379370208442807,100.0,19.471220634490688,120.0
105,1106,200,200,0,0,6.379370208442807,120.0,19.471220634490688,140.0
106,1020,200,200,0,0,6.379370208442807,140.0,19.471220634490688,160.0
107,17,17,17,0,0,6.379370208442807,160.0,19.471220634490688,180.0
108,14,14,14,0,0,19.471220634490688,-180.0,33.74898859588857,-160.0
109,3109,200,200,0,0,19.471220634490688,-160.0,33.74898859588857,-140.0
110,0,0,0,0,0,19.471220634490688,-140.0,33.74898859588857,-120.0
111,187170,200,200,0,0,19.471220634490688,-120.0,33.74898859588857,-100.0
112,264946,200,200,0,0,19.471220634490688,-100.0,33.74898859588857,-80.0
113,3026,200,200,0,0,19.471220634490688,-80.0,33.74898859588857,-60.0
114,0,0,0,0,0,19.471220634490688,-60.0,33.74898859588857,-40.0
115,0,0,0,0,0,19.471220634490688,-40.0,33.74898859588857,-20.0
116,9906,200,200,0,0,19.471220634490688,-20.0,33.74898859588857,0.0
117,118,118,118,0,0,19.471220634490688,0.0,33.74898859588857,20.0
118,9756,200,200,0,0,19.471220634490688,20.0,33.74898859588857,40.0
119,3005,200,200,0,0,19.471220634490688,40.0,33.74898859588857,60.0
120,3004,200,200,0,0,19.471220634490688,60.0,33.74898859588857,80.0
121,4630,200,200,0,0,19.471220634490688,80.0,33.74898859588857,100.0
122,9543,200,200,0,0,19.471220634490688,100.0,33.74898859588857,120.0
123,45114,200,200,0,0,19.471220634490688,120.0,33.74898859588857,140.0
124,9,9,9,0,0,19.471220634490688,140.0,33.74898859588857,160.0
125,0,0,0,0,0,19.471220634490688,160.0,33.74898859588857,180.0
126,0,0,0,0,0,33.74898859588857,-180.0,51.05755873101861,-160.0
127,0,0,0,0,0,33.74898859588857,-160.0,51.05755873101861,-140.0
128,452577,200,200,0,0,33.74898859588857,-140.0,51.05755873101861,-120.0
129,291016,200,200,0,0,33.74898859588857,-120.0,51.05755873101861,-100.0
130,434965,200,200,0,0,33.74898859588857,-100.0,51.05755873101861,-80.0
131,511533,200,200,0,0,33.74898859588857,-80.0,51.05755873101861,-60.0
132,3645,200,200,0,0,33.74898859588857,-60.0,51.05755873101861,-40.0
133,2527,200,200,0,0,33.74898859588857,-40.0,51.05755873101861,-20.0
134,139663,200,200,0,0,33.74898859588857,-20.0,51.05755873101861,0.0
135,388214,200,200,0,0,33.74898859588857,0.0,51.05755873101861,20.0
136,67129,200,200,0,0,33.74898859588857,20.0,51.05755873101861,40.0
137,11881,200,200,0,0,33.74898859588857,40.0,51.05755873101861,60.0
138,4175,200,200,0,0,33.74898859588857,60.0,51.05755873101861,80.0
139,1607,200,200,0,0,33.74898859588857,80.0,51.05755873101861,100.0
140,5968,200,200,0,0,33.74898859588857,100.0,51.05755873101861,120.0
141,20665,200,200,0,0,33.74898859588857,120.0,51.05755873101861,140.0
142,1957,200,200,0,0,33.74898859588857,140.0,51.05755873101861,160.0
143,0,0,0,0,0,33.74898859588857,160.0,51.05755873101861,180.0
144,693,200,200,0,0,51.05755873101861,-180.0,90.0,-160.0
145,5788,200,200,0,0,51.05755873101861,-160.0,90.0,-140.0
146,12493,200,200,0,0,51.05755873101861,-140.0,90.0,-120.0
147,28884,200,200,0,0,51.05755873101861,-120.0,90.0,-100.0
148,2061,200,200,0,0,51.05755873101861,-100.0,90.0,-80.0
149,1818,200,200,0,0,51.05755873101861,-80.0,90.0,-60.0
150,4767,200,200,0,0,51.05755873101861,-60.0,90.0,-40.0
151,2313,200,200,0,0,51.05755873101861,-40.0,90.0,-20.0
152,74044,200,200,0,0,51.05755873101861,-20.0,90.0,0.0
153,88772,200,200,0,0,51.05755873101861,0.0,90.0,20.0
154,85294,200,200,0,0,51.05755873101861,20.0,90.0,40.0
155,33970,200,200,0,0,51.05755873101861,40.0,90.0,60.0
