cell_id,observation_id,photo_id,photo_url_large,photo_license,attribution,species,inat_taxon_id,latitude,longitude,positional_accuracy_m,observed_on,observer_id,observer
5,574543,730671,https://inaturalist-open-data.s3.amazonaws.com/photos/730671/large.jpg,cc-by-nc,"(c) edwardrooks, some rights reserved (CC BY-NC)",Viola reichei,83009,-54.845978,-68.579235,2449.0,2013-12-22,10201,edwardrooks
5,1592651,1961040,https://inaturalist-open-data.s3.amazonaws.com/photos/1961040/large.JPG,cc-by-nc,"(c) Miguel Eq, some rights reserved (CC BY-NC)",Oxalis enneaphylla,361076,-54.963228,-67.637672,416.0,2014-12-14,18408,migueleq
5,4498082,5436245,https://inaturalist-open-data.s3.amazonaws.com/photos/5436245/large.jpeg,cc-by-nc,"(c) Ziyu Ma, some rights reserved (CC BY-NC)",Ribes magellanicum,465229,-54.7658396373,-68.291015625,3906.0,2016-11-04,101945,ziyum
5,11516170,16438779,https://inaturalist-open-data.s3.amazonaws.com/photos/16438779/large.jpg,cc-by-nc,"(c) Sarah Martinez, some rights reserved (CC BY-NC)",Chloraea magellanica,474124,-51.5704,-72.6047833333,5.0,2017-11-28,117854,sarmartinez
5,12998042,18906843,https://inaturalist-open-data.s3.amazonaws.com/photos/18906843/large.jpg,cc-by-nc,"(c) J. Burke Korol, some rights reserved (CC BY-NC)",Gentianella magellanica,859862,-54.847335,-68.580733,300.0,2008-01-27,533871,burke_korol
5,17510952,26644445,https://inaturalist-open-data.s3.amazonaws.com/photos/26644445/large.jpg,cc-by-nc,"(c) Bill Schaaf, some rights reserved (CC BY-NC)",Olsynium biflorum,346964,-54.875675,-67.329821,545.0,2013-12-02,931389,hoaryherper
5,18967719,29079566,https://inaturalist-open-data.s3.amazonaws.com/photos/29079566/large.jpeg,cc-by,"(c) Paul Prior, some rights reserved (CC BY)",Saxifraga magellanica,624845,-52.1135672,-69.7376383,176.0,2018-11-20,110005,paul_prior
5,20393838,31493263,https://inaturalist-open-data.s3.amazonaws.com/photos/31493263/large.jpg,cc-by,"(c) Георгий Виноградов (Georgy Vinogradov), some rights reserved (CC BY)",Berberis microphylla,84707,-54.8113174452,-68.3564136201,100.0,2011-11-07,1434599,prokhozhyj
5,22947197,35570221,https://inaturalist-open-data.s3.amazonaws.com/photos/35570221/large.jpg,cc-by-nc,"(c) gomzcin, some rights reserved (CC BY-NC)",Perezia magellanica,801719,-54.7214133333,-68.2843083333,5.0,2019-02-17,1652791,gomzcin
5,36037483,56913502,https://inaturalist-open-data.s3.amazonaws.com/photos/56913502/large.jpeg,cc-by,"(c) María Regina Silva, some rights reserved (CC BY)",Armeria curvifolia,1138435,-54.84145076,-68.36494171,3.0,2019-11-24,1570706,marreginas
5,36100290,57017219,https://inaturalist-open-data.s3.amazonaws.com/photos/57017219/large.jpeg,cc-by,"(c) Romi Galeota Lencina, some rights reserved (CC BY)",Armeria curvifolia,1138435,-54.8565123129,-68.5720809859,12.0,2019-11-22,1255162,romigaleota
5,36502228,57708895,https://inaturalist-open-data.s3.amazonaws.com/photos/57708895/large.jpg,cc-by,"(c) Pablo, some rights reserved (CC BY)",Embothrium coccineum,319327,-54.818360546,-68.1811231267,64.0,2019-12-07,1876268,pablo_jusim
5,36850551,58319870,https://inaturalist-open-data.s3.amazonaws.com/photos/58319870/large.jpeg,cc-by-nc,"(c) Pete Woodall, some rights reserved (CC BY-NC)",Embothrium coccineum,319327,-54.84,-68.375,100.0,2019-11-05,108966,nyoni-pete
5,37326368,59153117,https://inaturalist-open-data.s3.amazonaws.com/photos/59153117/large.jpeg,cc0,no rights reserved,Hypochaeris incana,624415,-53.6839294522,-67.8906925768,526.0,2020-01-01,1218274,tabarbarreto
