species,n_classifiable,genus,inat_taxon_id,after_observer_cap,maximum_span_km_after_observer_cap,inat_taxon_id_sensitivity,after_observer_cap_sensitivity,maximum_span_km,latitude_n,mean_latitude,min_latitude,max_latitude,inat_taxon_id_photos,abs_mean_latitude,log1p_span_primary,log1p_span_sensitivity,taxon_id_source_disagreement,family,family_taxon_id,retrieval_status,pollination_guild,pollination_guild_raw,pollination_guild_mapped,admissible_source_backed_exact,pollination_notes,evidence_type,confidence
Acacia linifolia,48,Acacia,321056,167,177.0219758312302,321056,145,177.0219758312302,100,-33.718178376774,-34.2628433333,-32.8892533333,321056,33.718178376774,5.181907002397573,5.181907002397573,False,Fabaceae,47122.0,ok,unknown,,,False,unknown,review,medium
Acacia ulicifolia,76,Acacia,139880,281,2090.89237497194,139880,155,2003.489029551043,100,-33.297823965439,-43.022904036,-24.396025,139880,33.297823965439,7.645824377863306,7.603144459157155,False,Fabaceae,47122.0,ok,mixed,mixed,mixed,True,Bulk source austraits_all_target_floral_v7.0.0 record austraits:White_2020:1569568: pollination_syndrome = insect. | Bulk source austraits_all_target_floral_v7.0.0 record austraits:White_2020:1571887: pollination_syndrome = insect. | Bulk source austraits_all_target_floral_v7.0.0 record austraits:Williams_2011:1719696: pollination_system = biotic_unspeciali…,inference|review,low
Aciphylla glacialis,79,Aciphylla,541375,113,194.58330013856948,541375,113,194.58330013856948,100,-36.680283038835,-37.4342716667,-36.378446397,541375,36.680283038835,5.275986376341166,5.275986376341166,False,Apiaceae,48699.0,ok,mixed,mixed,mixed,True,Bulk source austraits_all_target_floral_v7.0.0 record austraits:White_2020:1572899: pollination_syndrome = insect.,review,medium
Aconitum delphiniifolium,59,Aconitum,48491,222,5123.226765436888,48491,129,5123.226765436888,100,59.752110241675,52.7218918578,69.5722681039,48491,59.752110241675,8.541734917587121,8.541734917587121,False,Ranunculaceae,48231.0,ok,unknown,,,False,unknown,flora,medium
Aconitum tauricum,56,Aconitum,515769,127,466.9738707433433,515769,127,466.9738707433433,100,46.727659552889,45.6872213,47.5710533333,515769,46.727659552889,6.1484124626140035,6.1484124626140035,False,Ranunculaceae,48231.0,ok,,,,False,,,
Adoxa moschatellina,44,Adoxa,55790,512,12000.394464152472,55790,187,9989.310037953972,100,51.277264801343996,30.9939,67.64567407,55790,51.277264801343996,9.392778127364858,9.209370905991257,False,Viburnaceae,781703.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""4497860"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Adoxa"",""species_epithet"":""moschatellina"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""870"",""work_species"":""Adoxa moschatellina""} | {""trait_derived_ID"":""4508625"",""ref_ID"":""10315"",""trait_ID"":""3.6.3"",""trait_value"":""fly"",""genus"":""Adoxa"",""species_epithet"":""…",flora|review,medium
Aegopodium podagraria,80,Aegopodium,51741,528,19340.302654138417,51741,188,19124.12218112773,100,48.581784943106,-43.527314784,66.1513986602,51741,48.581784943106,9.869998122175328,9.858758047230028,False,Apiaceae,48699.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""4497862"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Aegopodium"",""species_epithet"":""podagraria"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""915"",""work_species"":""Aegopodium podagraria""} | {""trait_derived_ID"":""4510343"",""ref_ID"":""10315"",""trait_ID"":""3.6.3"",""trait_value"":""bee/fly"",""genus"":""Aegopodium"",""speci…",review,medium
Agapanthus praecox,53,Agapanthus,199324,386,19759.42527938764,199324,184,19581.580372855544,100,-31.875533207335998,-46.898430837,38.7612992537,199324,31.875533207335998,9.891436493306475,9.882395693553438,False,Amaryllidaceae,55849.0,ok,mixed,mixed,mixed,True,"{""trait_derived_ID"":""1009317"",""ref_ID"":""10199"",""trait_ID"":""3.6.3"",""trait_value"":""bee"",""genus"":""Agapanthus"",""species_epithet"":""praecox"",""author"":""Willd."",""matched"":""1"",""resolved"":""1"",""work_ID"":""1028"",""work_species"":""Agapanthus praecox""} | {""trait_derived_ID"":""5062918"",""ref_ID"":""10328"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Agapanthus"",""species_ep…",horticulture|inference|review,low
Ageratina havanensis,70,Ageratina,158108,139,3093.4552845295943,158108,139,3093.4552845295943,100,29.445248043760998,20.0468606041,40.6371154785,158108,29.445248043760998,8.037367171092656,8.037367171092656,False,Asteraceae,47604.0,ok,unknown,,,False,unknown,flora,medium
Agrostemma githago,53,Agrostemma,75310,254,12686.875117054253,75310,190,9558.418463896682,100,49.301015673152996,30.8143250241,62.0205167907,75310,49.301015673152996,9.448402101223278,9.16528217405889,False,Caryophyllaceae,48567.0,ok,mixed,mixed,mixed,True,"The CC0 literature synthesis classifies Agrostemma githago as largely self-compatible (SC). | {""trait_derived_ID"":""4497872"",""ref_ID"":""10313"",""trait_ID"":""3.6.2"",""trait_value"":""insect"",""genus"":""Agrostemma"",""species_epithet"":""githago"",""author"":""L."",""matched"":""1"",""resolved"":""1"",""work_ID"":""1197"",""work_species"":""Agrostemma githago""} | {""trait_derived_ID"":""4511073…",flora|review,medium
